Bacon,Current Price,Orignal Price,Weight in lbs,True Weight,Brand,Local,Address,State,City,Zip Code,Date Collected,Url
IFH - Driftless Provisions - Bacon,12.0,12.0,0.75,12.0 oz,Iowa food hub,Local,200 Railroad Street,IA,Decorah,52101,2023-06-26,https://iowa-food-hub.myshopify.com/products/ifh-driftless-provisions-bacon?_pos=1&_sid=176f9ec7e&_ss=r&variant=39733334966390
WBP Pork Bacon,18.0,18.0,3.0,3.0 lb,Winneshiek beef pork & poultry,Local,200 Railroad Street,IA,Decorah,52101,2023-06-26,https://iowa-food-hub.myshopify.com/products/wbp-pork-bacon?_pos=4&_sid=176f9ec7e&_ss=r
"HCF Beef Bacon, Hickory Smoked",15.0,15.0,1.0,1.0 lb,Hart country meats,Local,200 Railroad Street,IA,Decorah,52101,2023-06-26,https://iowa-food-hub.myshopify.com/products/hcf-beef-bacon-hickory-smoked?_pos=3&_sid=176f9ec7e&_ss=r
"HHHM Bacon, Uncured, 1 lb.",15.0,15.0,1.0,1.0 lb,Humble hands harvest,Local,200 Railroad Street,IA,Decorah,52101,2023-06-26,https://iowa-food-hub.myshopify.com/products/hhh-bacon-1-lb?_pos=2&_sid=176f9ec7e&_ss=r
"OOA All Natural Bacon, 1 lb.",14.3,14.3,1.0,1.0 lb,O'connell organic acres,Local,200 Railroad Street,IA,Decorah,52101,2023-06-26,https://iowa-food-hub.myshopify.com/products/ooa-all-natural-bacon-1-lb?_pos=5&_sid=176f9ec7e&_ss=r
