,Bacon,Current Price,Unit Price,Sale,Store Location,Url
69,Applegate Naturals Do Good Dog Uncured Beef Hot Dogs 6ct - 10 Ounce,$7.99,,$0.80/oz,"at West Des Moines, IA",https://ww2.freshthyme.com/sm/planning/rsid/951/results?q=Bacon&take=48&f=Category%3AHot+Dogs%2C+Bacon+%26+Sausage
70,Farm Promise Smoked Hardwood Uncured Bacon - 12 Ounce,$6.99,,$0.58/oz,"at Davenport, IA",https://ww2.freshthyme.com/sm/planning/rsid/952/results?q=Bacon&take=48&f=Category%3AHot+Dogs%2C+Bacon+%26+Sausage
71,Farm Promise Smoked Applewood Uncured Bacon - 12 Ounce,$6.99,,$0.58/oz,"at Davenport, IA",https://ww2.freshthyme.com/sm/planning/rsid/952/results?q=Bacon&take=48&f=Category%3AHot+Dogs%2C+Bacon+%26+Sausage
72,Fresh Thyme Smoked Sliced Uncured Bacon - 12 Ounce,$6.49,,$0.54/oz,"at Davenport, IA",https://ww2.freshthyme.com/sm/planning/rsid/952/results?q=Bacon&take=48&f=Category%3AHot+Dogs%2C+Bacon+%26+Sausage
73,Deli Sliced Thick Cut Applewood Bacon - 1 Pound,$5.99 avg/ea,,$5.99/lb,"at Davenport, IA",https://ww2.freshthyme.com/sm/planning/rsid/952/results?q=Bacon&take=48&f=Category%3AHot+Dogs%2C+Bacon+%26+Sausage
74,Boar's Head Naturally Smoked Traditional Bacon - 16 Ounce,$6.99,was $7.99,$0.44/oz,"at Davenport, IA",https://ww2.freshthyme.com/sm/planning/rsid/952/results?q=Bacon&take=48&f=Category%3AHot+Dogs%2C+Bacon+%26+Sausage
75,Deli Sliced Thick Cut Peppered Bacon - 1 Pound,$5.99 avg/ea,,$5.99/lb,"at Davenport, IA",https://ww2.freshthyme.com/sm/planning/rsid/952/results?q=Bacon&take=48&f=Category%3AHot+Dogs%2C+Bacon+%26+Sausage
76,Deli Sliced Thick Cut Bacon In Bag - 3 Pound,$17.97 avg/ea,,$5.99/lb,"at Davenport, IA",https://ww2.freshthyme.com/sm/planning/rsid/952/results?q=Bacon&take=48&f=Category%3AHot+Dogs%2C+Bacon+%26+Sausage
77,Boar's Head Fully Cooked Traditional Bacon - 2.29 Ounce,$7.49,,$3.27/oz,"at Davenport, IA",https://ww2.freshthyme.com/sm/planning/rsid/952/results?q=Bacon&take=48&f=Category%3AHot+Dogs%2C+Bacon+%26+Sausage
78,Boar's Head Canadian Style Uncured Bacon - 6 Ounce,$5.99,,$1.00/oz,"at Davenport, IA",https://ww2.freshthyme.com/sm/planning/rsid/952/results?q=Bacon&take=48&f=Category%3AHot+Dogs%2C+Bacon+%26+Sausage
79,Hatfield Hardwood Smoked Uncured Bacon - 16 Ounce,$6.99,was $7.99,$0.44/oz,"at Davenport, IA",https://ww2.freshthyme.com/sm/planning/rsid/952/results?q=Bacon&take=48&f=Category%3AHot+Dogs%2C+Bacon+%26+Sausage
80,Deli Sliced Thick Cut Bacon - 1 Pound,$5.99 avg/ea,,$5.99/lb,"at Davenport, IA",https://ww2.freshthyme.com/sm/planning/rsid/952/results?q=Bacon&take=48&f=Category%3AHot+Dogs%2C+Bacon+%26+Sausage
81,Pederson's Natural Farms Organic No Sugar Uncured Smoked Bacon - 8 Ounce,$7.49,,$0.94/oz,"at Davenport, IA",https://ww2.freshthyme.com/sm/planning/rsid/952/results?q=Bacon&take=48&f=Category%3AHot+Dogs%2C+Bacon+%26+Sausage
82,Fresh Thyme Smoked Sliced Uncured Turkey Bacon - 12 Ounce,$4.69,,$0.39/oz,"at Davenport, IA",https://ww2.freshthyme.com/sm/planning/rsid/952/results?q=Bacon&take=48&f=Category%3AHot+Dogs%2C+Bacon+%26+Sausage
83,Indiana Kitchen Hardwood Smoked Bacon - 16 Ounce,$6.49,,$0.41/oz,"at Davenport, IA",https://ww2.freshthyme.com/sm/planning/rsid/952/results?q=Bacon&take=48&f=Category%3AHot+Dogs%2C+Bacon+%26+Sausage
84,Fresh Thyme Fully Cooked Uncured Turkey Bacon - 2.14 Ounce,$3.99,,$1.86/oz,"at Davenport, IA",https://ww2.freshthyme.com/sm/planning/rsid/952/results?q=Bacon&take=48&f=Category%3AHot+Dogs%2C+Bacon+%26+Sausage
85,Applegate Organics Uncured Hickory Smoked Turkey Bacon - 8 Ounce,$7.49,,$0.94/oz,"at Davenport, IA",https://ww2.freshthyme.com/sm/planning/rsid/952/results?q=Bacon&take=48&f=Category%3AHot+Dogs%2C+Bacon+%26+Sausage
86,Deli Sliced Thick Cut Peppered Bacon In Bag - 3 Pound,$17.97 avg/ea,,$5.99/lb,"at West Des Moines, IA",https://ww2.freshthyme.com/sm/planning/rsid/951/results?q=Bacon&take=48&f=Category%3AHot+Dogs%2C+Bacon+%26+Sausage
87,Deli Sliced Thick Cut Applewood Bacon In Bag - 3 Pound,$17.97 avg/ea,,$5.99/lb,"at West Des Moines, IA",https://ww2.freshthyme.com/sm/planning/rsid/951/results?q=Bacon&take=48&f=Category%3AHot+Dogs%2C+Bacon+%26+Sausage
88,Applegate Naturals Uncured Hickory Smoked Sunday Bacon - 8 Ounce,$6.49,,$0.81/oz,"at West Des Moines, IA",https://ww2.freshthyme.com/sm/planning/rsid/951/results?q=Bacon&take=48&f=Category%3AHot+Dogs%2C+Bacon+%26+Sausage
89,Fresh Thyme Smoked Sliced Uncured Bacon - 12 Ounce,$6.49,,$0.54/oz,"at West Des Moines, IA",https://ww2.freshthyme.com/sm/planning/rsid/951/results?q=Bacon&take=48&f=Category%3AHot+Dogs%2C+Bacon+%26+Sausage
90,Deli Sliced Thick Cut Peppered Bacon - 1 Pound,$5.99 avg/ea,,$5.99/lb,"at West Des Moines, IA",https://ww2.freshthyme.com/sm/planning/rsid/951/results?q=Bacon&take=48&f=Category%3AHot+Dogs%2C+Bacon+%26+Sausage
91,Farm Promise Smoked Hardwood Uncured Bacon - 12 Ounce,$6.99,,$0.58/oz,"at West Des Moines, IA",https://ww2.freshthyme.com/sm/planning/rsid/951/results?q=Bacon&take=48&f=Category%3AHot+Dogs%2C+Bacon+%26+Sausage
92,Deli Sliced Thick Cut Applewood Bacon - 1 Pound,$5.99 avg/ea,,$5.99/lb,"at West Des Moines, IA",https://ww2.freshthyme.com/sm/planning/rsid/951/results?q=Bacon&take=48&f=Category%3AHot+Dogs%2C+Bacon+%26+Sausage
93,Farm Promise Smoked Applewood Uncured Bacon - 12 Ounce,$6.99,,$0.58/oz,"at West Des Moines, IA",https://ww2.freshthyme.com/sm/planning/rsid/951/results?q=Bacon&take=48&f=Category%3AHot+Dogs%2C+Bacon+%26+Sausage
94,Deli Sliced Thick Cut Bacon In Bag - 3 Pound,$17.97 avg/ea,,$5.99/lb,"at West Des Moines, IA",https://ww2.freshthyme.com/sm/planning/rsid/951/results?q=Bacon&take=48&f=Category%3AHot+Dogs%2C+Bacon+%26+Sausage
95,Boar's Head Naturally Smoked Traditional Bacon - 16 Ounce,$6.99,was $7.99,$0.44/oz,"at West Des Moines, IA",https://ww2.freshthyme.com/sm/planning/rsid/951/results?q=Bacon&take=48&f=Category%3AHot+Dogs%2C+Bacon+%26+Sausage
