Bacon,Current Price,Orignal Price,Weight in lbs,True Weight,Brand,Local,Address,State,City,Zip Code,Date Collected,Url
"HHHM Bacon, Uncured, 1 lb.",15.0,15.0,1.0,1 lb,Humble hands harvest,Local,200 Railroad Street,IA,Decorah,52101,2023-07-05,https://iowa-food-hub.myshopify.com/products/hhh-bacon-1-lb?_pos=3&_sid=3a317f742&_ss=r
IFH - Driftless Provisions - Bacon,12.0,12.0,0.75,12 oz,Iowa food hub,Local,200 Railroad Street,IA,Decorah,52101,2023-07-05,https://iowa-food-hub.myshopify.com/products/ifh-driftless-provisions-bacon?_pos=1&_sid=3a317f742&_ss=r&variant=39733334966390
"HCF Beef Bacon, Hickory Smoked",15.0,15.0,1.0,1 lb,Hart country meats,Local,200 Railroad Street,IA,Decorah,52101,2023-07-05,https://iowa-food-hub.myshopify.com/products/hcf-beef-bacon-hickory-smoked?_pos=2&_sid=3a317f742&_ss=r
WBP Pork Bacon,18.0,18.0,3.0,3 lb,Winneshiek beef pork & poultry,Local,200 Railroad Street,IA,Decorah,52101,2023-07-05,https://iowa-food-hub.myshopify.com/products/wbp-pork-bacon?_pos=5&_sid=3a317f742&_ss=r
