,Egg,Current Price,Sale,Store Location,Url
0,Fresh Thyme Cage Free Large Grade A White Eggs - 1.5 Each,$5.49,$3.66 each,"at West Des Moines, IA",https://ww2.freshthyme.com/sm/planning/rsid/951/results?q=Eggs&take=48&f=Category%3AEggs
1,Fresh Thyme Cage Free Organic Medium Grade A Brown Eggs - 1.5 Each,$6.99,$4.66 each,"at West Des Moines, IA",https://ww2.freshthyme.com/sm/planning/rsid/951/results?q=Eggs&take=48&f=Category%3AEggs
2,Vital Farms Pasture-raised Hard Boiled Eggs 6ct - 0.5 Each,$5.99,$11.98 each,"at West Des Moines, IA",https://ww2.freshthyme.com/sm/planning/rsid/951/results?q=Eggs&take=48&f=Category%3AEggs
3,Fresh Thyme Cage Free Large Grade A White Eggs - 1 Each,$3.99,,"at West Des Moines, IA",https://ww2.freshthyme.com/sm/planning/rsid/951/results?q=Eggs&take=48&f=Category%3AEggs
4,Fresh Thyme Cage Free Organic Medium Grade A Brown Eggs - 1.5 Each,$6.99,$4.66 each,"at Davenport, IA",https://ww2.freshthyme.com/sm/planning/rsid/952/results?q=Eggs&take=48&f=Category%3AEggs
5,Fresh Thyme Cage Free Jumbo Grade A Brown Eggs - 1 Each,$4.79,,"at Davenport, IA",https://ww2.freshthyme.com/sm/planning/rsid/952/results?q=Eggs&take=48&f=Category%3AEggs
6,Vital Farms Pasture-raised Hard Boiled Eggs 6ct - 0.5 Each,$5.99,$11.98 each,"at Davenport, IA",https://ww2.freshthyme.com/sm/planning/rsid/952/results?q=Eggs&take=48&f=Category%3AEggs
7,Fresh Thyme Cage Free Large Grade A White Eggs - 1.5 Each,$5.49,$3.66 each,"at Davenport, IA",https://ww2.freshthyme.com/sm/planning/rsid/952/results?q=Eggs&take=48&f=Category%3AEggs
8,Fresh Thyme Cage Free Large Grade A White Eggs - 1 Each,$3.99,,"at Davenport, IA",https://ww2.freshthyme.com/sm/planning/rsid/952/results?q=Eggs&take=48&f=Category%3AEggs
9,Fresh Thyme Cage Free Large Grade A Brown Eggs - 1 Each,$3.99,,"at Davenport, IA",https://ww2.freshthyme.com/sm/planning/rsid/952/results?q=Eggs&take=48&f=Category%3AEggs
10,Fresh Thyme Cage Free Large Grade A Brown Eggs - 1 Each,$3.99,,"at West Des Moines, IA",https://ww2.freshthyme.com/sm/planning/rsid/951/results?q=Eggs&take=48&f=Category%3AEggs
11,Chino Valley Cage Free 100% Liquid Egg Whites - 16 Ounce,$4.29,$0.27/oz,"at Davenport, IA",https://ww2.freshthyme.com/sm/planning/rsid/952/results?q=Eggs&take=48&f=Category%3AEggs
12,Three Bridges Uncured Bacon & Cheese Egg Bites - 4.6 Ounce,$4.99,$1.08/oz,"at Davenport, IA",https://ww2.freshthyme.com/sm/planning/rsid/952/results?q=Eggs&take=48&f=Category%3AEggs
13,Three Bridges Spinach & Bell Pepper Egg Bites - 4.6 Ounce,$4.99,$1.08/oz,"at Davenport, IA",https://ww2.freshthyme.com/sm/planning/rsid/952/results?q=Eggs&take=48&f=Category%3AEggs
