Beef (Steak),Current Price,Sale,Unit Price,Store Location,Url
Certified Angus Beef Flat Iron Steak Boneless - 2 Pound,$15.98 avg/ea,was $19.98 avg/ea,$7.99/lb,"at West Des Moines, IA",https://ww2.freshthyme.com/sm/planning/rsid/951/product/certified-angus-beef-flat-iron-steak-boneless-00201071000009
Thomas Farms Organic Beef Tenderloin Steak - 10 Ounce,$19.99,,$2.00/oz,"at West Des Moines, IA",https://ww2.freshthyme.com/sm/planning/rsid/951/product/thomas-farms-organic-beef-tenderloin-steak-00647086042212
Certified Angus Beef Prime Porterhouse Steak - 1 Pound,$18.99 avg/ea,,$18.99/lb,"at West Des Moines, IA",https://ww2.freshthyme.com/sm/planning/rsid/951/product/certified-angus-beef-prime-porterhouse-steak-00203076000008
Certified Angus Beef T-bone Steak - 1 Pound,$9.49 avg/ea,was $14.49 avg/ea,$9.49/lb,"at West Des Moines, IA",https://ww2.freshthyme.com/sm/planning/rsid/951/product/certified-angus-beef-tbone-steak-00201014000004
Certified Angus Beef Cube Steak Boneless - 2 Pound,$12.58 avg/ea,,$6.29/lb,"at West Des Moines, IA",https://ww2.freshthyme.com/sm/planning/rsid/951/product/certified-angus-beef-cube-steak-boneless-00201025000000
Certified Angus Beef Breakfast Steak Boneless - 2 Pound,$12.58 avg/ea,,$6.29/lb,"at West Des Moines, IA",https://ww2.freshthyme.com/sm/planning/rsid/951/product/certified-angus-beef-breakfast-steak-boneless-00201024000001
Certified Angus Beef Chuck Steak Boneless - 2 Pound,$12.38 avg/ea,was $14.38 avg/ea,$6.19/lb,"at West Des Moines, IA",https://ww2.freshthyme.com/sm/planning/rsid/951/product/certified-angus-beef-chuck-steak-boneless-00201023000002
Epic Wagyu Beef Steak Strip - 0.8 Ounce,$1.99,was $2.49,$2.49/oz,"at West Des Moines, IA",https://ww2.freshthyme.com/sm/planning/rsid/951/product/epic-wagyu-beef-steak-strip-00732153015920
Certified Angus Beef Steak Burger - 32 Ounce,$14.99,,$0.47/oz,"at West Des Moines, IA",https://ww2.freshthyme.com/sm/planning/rsid/951/product/certified-angus-beef-steak-burger-00079821103030
Certified Angus Beef Porterhouse Steak - 2 Pound,$19.98 avg/ea,was $31.98 avg/ea,$9.99/lb,"at West Des Moines, IA",https://ww2.freshthyme.com/sm/planning/rsid/951/product/certified-angus-beef-porterhouse-steak-00201015000003
Angus Beef Sirlion Steak Burger - 32 Ounce,$14.99,,$0.47/oz,"at West Des Moines, IA",https://ww2.freshthyme.com/sm/planning/rsid/951/product/angus-beef-sirlion-steak-burger-00079821103016
