,Bacon,Current Price,Unit Price,Sale,Store Location,Url
0,Bilinski's Organic Spinach & Spring Greens Chicken Sausage - 12 Ounce,$7.49,,$0.62/oz,"at Davenport, IA",https://ww2.freshthyme.com/sm/planning/rsid/952/results?q=Bacon&take=48&f=Category%3AHot+Dogs%2C+Bacon+%26+Sausage
1,Bilinski's Antibiotic Free Cajun Style Chicken & Peppers Blended Sausage - 12 Ounce,$4.49,was $5.99,$0.37/oz,"at Davenport, IA",https://ww2.freshthyme.com/sm/planning/rsid/952/results?q=Bacon&take=48&f=Category%3AHot+Dogs%2C+Bacon+%26+Sausage
2,Beyond Meat Beyond Sausage Hot Italian Style Plant-based Sausages - 14 Ounce,$6.99,was $8.99,$0.50/oz,"at Davenport, IA",https://ww2.freshthyme.com/sm/planning/rsid/952/results?q=Bacon&take=48&f=Category%3AHot+Dogs%2C+Bacon+%26+Sausage
3,Bilinski's Organic Mild Italian With Bell Peppers Chicken Sausage - 12 Ounce,$7.49,,$0.62/oz,"at Davenport, IA",https://ww2.freshthyme.com/sm/planning/rsid/952/results?q=Bacon&take=48&f=Category%3AHot+Dogs%2C+Bacon+%26+Sausage
4,Bilinski's Antibiotic Free Spinach & Chicken Garlic Seasoned Blended Sausage - 12 Ounce,$4.49,was $5.99,$0.37/oz,"at Davenport, IA",https://ww2.freshthyme.com/sm/planning/rsid/952/results?q=Bacon&take=48&f=Category%3AHot+Dogs%2C+Bacon+%26+Sausage
5,Boar's Head All Natural Chorizo Chicken Sausages - 12 Ounce,$8.99,,$0.75/oz,"at West Des Moines, IA",https://ww2.freshthyme.com/sm/planning/rsid/951/results?q=Bacon&take=48&f=Category%3AHot+Dogs%2C+Bacon+%26+Sausage
6,Boar's Head All Natural Breakfast Pork Sausage - 6 Ounce,$3.50,was $4.99,$0.58/oz,"at West Des Moines, IA",https://ww2.freshthyme.com/sm/planning/rsid/951/results?q=Bacon&take=48&f=Category%3AHot+Dogs%2C+Bacon+%26+Sausage
7,Bilinski's Organic Wild Mushrooms With Italian Herbs Chicken Sausage - 12 Ounce,$7.49,,$0.62/oz,"at West Des Moines, IA",https://ww2.freshthyme.com/sm/planning/rsid/951/results?q=Bacon&take=48&f=Category%3AHot+Dogs%2C+Bacon+%26+Sausage
8,Bilinski's Organic Mild Italian With Bell Peppers Chicken Sausage - 12 Ounce,$7.49,,$0.62/oz,"at West Des Moines, IA",https://ww2.freshthyme.com/sm/planning/rsid/951/results?q=Bacon&take=48&f=Category%3AHot+Dogs%2C+Bacon+%26+Sausage
9,Bilinski's Antibiotic Free Tomato Basil & Chicken Zesty Italian Style Blended Sausage - 12 Ounce,$4.49,was $5.99,$0.37/oz,"at Davenport, IA",https://ww2.freshthyme.com/sm/planning/rsid/952/results?q=Bacon&take=48&f=Category%3AHot+Dogs%2C+Bacon+%26+Sausage
10,Bilinski's Antibiotic Free Tomato Basil & Chicken Zesty Italian Style Blended Sausage - 12 Ounce,$4.49,was $5.99,$0.37/oz,"at West Des Moines, IA",https://ww2.freshthyme.com/sm/planning/rsid/951/results?q=Bacon&take=48&f=Category%3AHot+Dogs%2C+Bacon+%26+Sausage
11,Bilinski's Antibiotic Free Spinach & Chicken Garlic Seasoned Blended Sausage - 12 Ounce,$4.49,was $5.99,$0.37/oz,"at West Des Moines, IA",https://ww2.freshthyme.com/sm/planning/rsid/951/results?q=Bacon&take=48&f=Category%3AHot+Dogs%2C+Bacon+%26+Sausage
12,Boar's Head Hot Smoked Uncured Sausage - 16 Ounce,$7.99,,$0.50/oz,"at Davenport, IA",https://ww2.freshthyme.com/sm/planning/rsid/952/results?q=Bacon&take=48&f=Category%3AHot+Dogs%2C+Bacon+%26+Sausage
13,Beyond Meat Beyond Sausage Plant-based Original Brat Links - 14 Ounce,$6.99,was $8.99,$0.50/oz,"at Davenport, IA",https://ww2.freshthyme.com/sm/planning/rsid/952/results?q=Bacon&take=48&f=Category%3AHot+Dogs%2C+Bacon+%26+Sausage
14,Boar's Head Breakfast Chicken Sausage Links - 7 Ounce,$5.99,,$0.86/oz,"at Davenport, IA",https://ww2.freshthyme.com/sm/planning/rsid/952/results?q=Bacon&take=48&f=Category%3AHot+Dogs%2C+Bacon+%26+Sausage
15,Boar's Head Breakfast Turkey Sausage - 6 Ounce,$3.50,was $4.99,$0.58/oz,"at Davenport, IA",https://ww2.freshthyme.com/sm/planning/rsid/952/results?q=Bacon&take=48&f=Category%3AHot+Dogs%2C+Bacon+%26+Sausage
16,Bilinski's Organic Spinach & Spring Greens Chicken Sausage - 12 Ounce,$7.49,,$0.62/oz,"at West Des Moines, IA",https://ww2.freshthyme.com/sm/planning/rsid/951/results?q=Bacon&take=48&f=Category%3AHot+Dogs%2C+Bacon+%26+Sausage
17,Boar's Head All Natural Chorizo Chicken Sausages - 12 Ounce,$8.99,,$0.75/oz,"at Davenport, IA",https://ww2.freshthyme.com/sm/planning/rsid/952/results?q=Bacon&take=48&f=Category%3AHot+Dogs%2C+Bacon+%26+Sausage
18,Boar's Head All Natural Robust Italian Chicken Sausages - 12 Ounce,$8.99,,$0.75/oz,"at Davenport, IA",https://ww2.freshthyme.com/sm/planning/rsid/952/results?q=Bacon&take=48&f=Category%3AHot+Dogs%2C+Bacon+%26+Sausage
19,Boar's Head Breakfast Turkey Sausage - 6 Ounce,$3.50,was $4.99,$0.58/oz,"at West Des Moines, IA",https://ww2.freshthyme.com/sm/planning/rsid/951/results?q=Bacon&take=48&f=Category%3AHot+Dogs%2C+Bacon+%26+Sausage
20,Boar's Head All Natural Breakfast Pork Sausage - 6 Ounce,$3.50,was $4.99,$0.58/oz,"at Davenport, IA",https://ww2.freshthyme.com/sm/planning/rsid/952/results?q=Bacon&take=48&f=Category%3AHot+Dogs%2C+Bacon+%26+Sausage
21,Boar's Head Hot Smoked Uncured Sausage - 16 Ounce,$7.99,,$0.50/oz,"at West Des Moines, IA",https://ww2.freshthyme.com/sm/planning/rsid/951/results?q=Bacon&take=48&f=Category%3AHot+Dogs%2C+Bacon+%26+Sausage
22,Boar's Head All Natural Honeycrisp Apple Chicken Sausages - 12 Ounce,$7.99,,$0.67/oz,"at Davenport, IA",https://ww2.freshthyme.com/sm/planning/rsid/952/results?q=Bacon&take=48&f=Category%3AHot+Dogs%2C+Bacon+%26+Sausage
23,Boar's Head Breakfast Chicken Sausage Links - 7 Ounce,$5.99,,$0.86/oz,"at West Des Moines, IA",https://ww2.freshthyme.com/sm/planning/rsid/951/results?q=Bacon&take=48&f=Category%3AHot+Dogs%2C+Bacon+%26+Sausage
