Bacon,Current Price,Orignal Price,Weight in lbs,True Weight,Brand,Local,Address,State,City,Zip Code,Latitude,Longitude,Store,Date Collected,Url
Deli Sliced Thick Cut Bacon In Bag - 3 Pound,8.97,17.97,3.0,3 lb,Deli,Can't be Determined,2130 E. Kimberly Rd.,IA,Davenport,52807,41.5570122,-90.5461028,Fresh Thyme ,2023-07-10,https://ww2.freshthyme.com/sm/planning/rsid/952/results?q=Bacon&take=48&f=Category%3AHot+Dogs%2C+Bacon+%26+Sausage
Boar's Head Naturally Smoked Traditional Bacon - 16 Ounce,7.99,7.99,1.0,16 oz,Boar's head,Non-local,2130 E. Kimberly Rd.,IA,Davenport,52807,41.5570122,-90.5461028,Fresh Thyme ,2023-07-10,https://ww2.freshthyme.com/sm/planning/rsid/952/results?q=Bacon&take=48&f=Category%3AHot+Dogs%2C+Bacon+%26+Sausage
Deli Sliced Thick Cut Applewood Bacon - 1 Pound,3.99,5.99,1.0,1 lb,Deli,Can't be Determined,2130 E. Kimberly Rd.,IA,Davenport,52807,41.5570122,-90.5461028,Fresh Thyme ,2023-07-10,https://ww2.freshthyme.com/sm/planning/rsid/952/results?q=Bacon&take=48&f=Category%3AHot+Dogs%2C+Bacon+%26+Sausage
Boar's Head Canadian Style Uncured Bacon - 6 Ounce,5.99,5.99,0.375,6 oz,Boar's head,Non-local,2130 E. Kimberly Rd.,IA,Davenport,52807,41.5570122,-90.5461028,Fresh Thyme ,2023-07-10,https://ww2.freshthyme.com/sm/planning/rsid/952/results?q=Bacon&take=48&f=Category%3AHot+Dogs%2C+Bacon+%26+Sausage
Pederson's Natural Farms Organic No Sugar Uncured Smoked Bacon - 8 Ounce,7.49,7.49,0.5,8 oz,Pederson's natural farms,Non-local,2130 E. Kimberly Rd.,IA,Davenport,52807,41.5570122,-90.5461028,Fresh Thyme ,2023-07-10,https://ww2.freshthyme.com/sm/planning/rsid/952/results?q=Bacon&take=48&f=Category%3AHot+Dogs%2C+Bacon+%26+Sausage
Boar's Head Fully Cooked Traditional Bacon - 2.29 Ounce,7.49,7.49,0.143125,2.29 oz,Boar's head,Non-local,2130 E. Kimberly Rd.,IA,Davenport,52807,41.5570122,-90.5461028,Fresh Thyme ,2023-07-10,https://ww2.freshthyme.com/sm/planning/rsid/952/results?q=Bacon&take=48&f=Category%3AHot+Dogs%2C+Bacon+%26+Sausage
Deli Sliced Thick Cut Bacon - 1 Pound,3.99,5.99,1.0,1 lb,Deli,Can't be Determined,2130 E. Kimberly Rd.,IA,Davenport,52807,41.5570122,-90.5461028,Fresh Thyme ,2023-07-10,https://ww2.freshthyme.com/sm/planning/rsid/952/results?q=Bacon&take=48&f=Category%3AHot+Dogs%2C+Bacon+%26+Sausage
Hatfield Maple Brown Sugar Bacon - 22 Ounce,7.99,7.99,1.375,22 oz,Hatfield,Non-local,2130 E. Kimberly Rd.,IA,Davenport,52807,41.5570122,-90.5461028,Fresh Thyme ,2023-07-10,https://ww2.freshthyme.com/sm/planning/rsid/952/results?q=Bacon&take=48&f=Category%3AHot+Dogs%2C+Bacon+%26+Sausage
Fresh Thyme Smoked Sliced Uncured Turkey Bacon - 12 Ounce,4.69,4.69,0.75,12 oz,Fresh thyme,Non-local,2130 E. Kimberly Rd.,IA,Davenport,52807,41.5570122,-90.5461028,Fresh Thyme ,2023-07-10,https://ww2.freshthyme.com/sm/planning/rsid/952/results?q=Bacon&take=48&f=Category%3AHot+Dogs%2C+Bacon+%26+Sausage
Fresh Thyme Fully Cooked Uncured Turkey Bacon - 2.14 Ounce,3.99,3.99,0.13375,2.14 oz,Fresh thyme,Non-local,2130 E. Kimberly Rd.,IA,Davenport,52807,41.5570122,-90.5461028,Fresh Thyme ,2023-07-10,https://ww2.freshthyme.com/sm/planning/rsid/952/results?q=Bacon&take=48&f=Category%3AHot+Dogs%2C+Bacon+%26+Sausage
Indiana Kitchen Hardwood Smoked Bacon - 16 Ounce,6.49,6.49,1.0,16 oz,Indiana kitchen,Non-local,2130 E. Kimberly Rd.,IA,Davenport,52807,41.5570122,-90.5461028,Fresh Thyme ,2023-07-10,https://ww2.freshthyme.com/sm/planning/rsid/952/results?q=Bacon&take=48&f=Category%3AHot+Dogs%2C+Bacon+%26+Sausage
Applegate Organics Uncured Hickory Smoked Turkey Bacon - 8 Ounce,7.49,7.49,0.5,8 oz,Applegate,Non-local,2130 E. Kimberly Rd.,IA,Davenport,52807,41.5570122,-90.5461028,Fresh Thyme ,2023-07-10,https://ww2.freshthyme.com/sm/planning/rsid/952/results?q=Bacon&take=48&f=Category%3AHot+Dogs%2C+Bacon+%26+Sausage
Boar's Head Uncured Turkey Bacon - 12 Ounce,6.99,6.99,0.75,12 oz,Boar's head,Non-local,2130 E. Kimberly Rd.,IA,Davenport,52807,41.5570122,-90.5461028,Fresh Thyme ,2023-07-10,https://ww2.freshthyme.com/sm/planning/rsid/952/results?q=Bacon&take=48&f=Category%3AHot+Dogs%2C+Bacon+%26+Sausage
Pederson's Natural Farms No Sugar Uncured Hickory Bacon - 10 Ounce,7.49,7.49,0.625,10 oz,Pederson's natural farms,Non-local,2900 University Ave. Suite 240,IA,West Des Moines,50266,41.599391,-93.74430749999999,Fresh Thyme ,2023-07-10,https://ww2.freshthyme.com/sm/planning/rsid/951/results?q=Bacon&take=48&f=Category%3AHot+Dogs%2C+Bacon+%26+Sausage
Deli Sliced Thick Cut Peppered Bacon In Bag - 3 Pound,8.97,17.97,3.0,3 lb,Deli,Can't be Determined,2900 University Ave. Suite 240,IA,West Des Moines,50266,41.599391,-93.74430749999999,Fresh Thyme ,2023-07-10,https://ww2.freshthyme.com/sm/planning/rsid/951/results?q=Bacon&take=48&f=Category%3AHot+Dogs%2C+Bacon+%26+Sausage
Indiana Kitchen Hardwood Smoked Thick Cut Bacon - 16 Ounce,6.49,6.49,1.0,16 oz,Indiana kitchen,Non-local,2900 University Ave. Suite 240,IA,West Des Moines,50266,41.599391,-93.74430749999999,Fresh Thyme ,2023-07-10,https://ww2.freshthyme.com/sm/planning/rsid/951/results?q=Bacon&take=48&f=Category%3AHot+Dogs%2C+Bacon+%26+Sausage
Fresh Thyme Smoked Sliced Uncured Bacon - 12 Ounce,6.49,6.49,0.75,12 oz,Fresh thyme,Non-local,2900 University Ave. Suite 240,IA,West Des Moines,50266,41.599391,-93.74430749999999,Fresh Thyme ,2023-07-10,https://ww2.freshthyme.com/sm/planning/rsid/951/results?q=Bacon&take=48&f=Category%3AHot+Dogs%2C+Bacon+%26+Sausage
Farm Promise Smoked Hardwood Uncured Bacon - 12 Ounce,6.99,6.99,0.75,12 oz,Farm promise,Non-local,2900 University Ave. Suite 240,IA,West Des Moines,50266,41.599391,-93.74430749999999,Fresh Thyme ,2023-07-10,https://ww2.freshthyme.com/sm/planning/rsid/951/results?q=Bacon&take=48&f=Category%3AHot+Dogs%2C+Bacon+%26+Sausage
Deli Sliced Thick Cut Applewood Bacon In Bag - 3 Pound,8.97,17.97,3.0,3 lb,Deli,Can't be Determined,2900 University Ave. Suite 240,IA,West Des Moines,50266,41.599391,-93.74430749999999,Fresh Thyme ,2023-07-10,https://ww2.freshthyme.com/sm/planning/rsid/951/results?q=Bacon&take=48&f=Category%3AHot+Dogs%2C+Bacon+%26+Sausage
Deli Sliced Thick Cut Peppered Bacon - 1 Pound,3.99,5.99,1.0,1 lb,Deli,Can't be Determined,2900 University Ave. Suite 240,IA,West Des Moines,50266,41.599391,-93.74430749999999,Fresh Thyme ,2023-07-10,https://ww2.freshthyme.com/sm/planning/rsid/951/results?q=Bacon&take=48&f=Category%3AHot+Dogs%2C+Bacon+%26+Sausage
Farm Promise Smoked Applewood Uncured Bacon - 12 Ounce,6.99,6.99,0.75,12 oz,Farm promise,Non-local,2900 University Ave. Suite 240,IA,West Des Moines,50266,41.599391,-93.74430749999999,Fresh Thyme ,2023-07-10,https://ww2.freshthyme.com/sm/planning/rsid/951/results?q=Bacon&take=48&f=Category%3AHot+Dogs%2C+Bacon+%26+Sausage
Deli Sliced Thick Cut Bacon In Bag - 3 Pound,8.97,17.97,3.0,3 lb,Deli,Can't be Determined,2900 University Ave. Suite 240,IA,West Des Moines,50266,41.599391,-93.74430749999999,Fresh Thyme ,2023-07-10,https://ww2.freshthyme.com/sm/planning/rsid/951/results?q=Bacon&take=48&f=Category%3AHot+Dogs%2C+Bacon+%26+Sausage
Boar's Head Fully Cooked Traditional Bacon - 2.29 Ounce,7.49,7.49,0.143125,2.29 oz,Boar's head,Non-local,2900 University Ave. Suite 240,IA,West Des Moines,50266,41.599391,-93.74430749999999,Fresh Thyme ,2023-07-10,https://ww2.freshthyme.com/sm/planning/rsid/951/results?q=Bacon&take=48&f=Category%3AHot+Dogs%2C+Bacon+%26+Sausage
Boar's Head Naturally Smoked Traditional Bacon - 16 Ounce,7.99,7.99,1.0,16 oz,Boar's head,Non-local,2900 University Ave. Suite 240,IA,West Des Moines,50266,41.599391,-93.74430749999999,Fresh Thyme ,2023-07-10,https://ww2.freshthyme.com/sm/planning/rsid/951/results?q=Bacon&take=48&f=Category%3AHot+Dogs%2C+Bacon+%26+Sausage
Boar's Head Canadian Style Uncured Bacon - 6 Ounce,5.99,5.99,0.375,6 oz,Boar's head,Non-local,2900 University Ave. Suite 240,IA,West Des Moines,50266,41.599391,-93.74430749999999,Fresh Thyme ,2023-07-10,https://ww2.freshthyme.com/sm/planning/rsid/951/results?q=Bacon&take=48&f=Category%3AHot+Dogs%2C+Bacon+%26+Sausage
Hatfield Maple Brown Sugar Bacon - 22 Ounce,7.99,7.99,1.375,22 oz,Hatfield,Non-local,2900 University Ave. Suite 240,IA,West Des Moines,50266,41.599391,-93.74430749999999,Fresh Thyme ,2023-07-10,https://ww2.freshthyme.com/sm/planning/rsid/951/results?q=Bacon&take=48&f=Category%3AHot+Dogs%2C+Bacon+%26+Sausage
Deli Sliced Thick Cut Bacon - 1 Pound,3.99,5.99,1.0,1 lb,Deli,Can't be Determined,2900 University Ave. Suite 240,IA,West Des Moines,50266,41.599391,-93.74430749999999,Fresh Thyme ,2023-07-10,https://ww2.freshthyme.com/sm/planning/rsid/951/results?q=Bacon&take=48&f=Category%3AHot+Dogs%2C+Bacon+%26+Sausage
Applegate Naturals Uncured Hickory Smoked Sunday Bacon - 8 Ounce,6.49,6.49,0.5,8 oz,Applegate,Non-local,2900 University Ave. Suite 240,IA,West Des Moines,50266,41.599391,-93.74430749999999,Fresh Thyme ,2023-07-10,https://ww2.freshthyme.com/sm/planning/rsid/951/results?q=Bacon&take=48&f=Category%3AHot+Dogs%2C+Bacon+%26+Sausage
Pederson's Natural Farms Organic No Sugar Uncured Smoked Bacon - 8 Ounce,7.49,7.49,0.5,8 oz,Pederson's natural farms,Non-local,2900 University Ave. Suite 240,IA,West Des Moines,50266,41.599391,-93.74430749999999,Fresh Thyme ,2023-07-10,https://ww2.freshthyme.com/sm/planning/rsid/951/results?q=Bacon&take=48&f=Category%3AHot+Dogs%2C+Bacon+%26+Sausage
Deli Sliced Thick Cut Applewood Bacon - 1 Pound,3.99,5.99,1.0,1 lb,Deli,Can't be Determined,2900 University Ave. Suite 240,IA,West Des Moines,50266,41.599391,-93.74430749999999,Fresh Thyme ,2023-07-10,https://ww2.freshthyme.com/sm/planning/rsid/951/results?q=Bacon&take=48&f=Category%3AHot+Dogs%2C+Bacon+%26+Sausage
Fresh Thyme Smoked Sliced Uncured Turkey Bacon - 12 Ounce,4.69,4.69,0.75,12 oz,Fresh thyme,Non-local,2900 University Ave. Suite 240,IA,West Des Moines,50266,41.599391,-93.74430749999999,Fresh Thyme ,2023-07-10,https://ww2.freshthyme.com/sm/planning/rsid/951/results?q=Bacon&take=48&f=Category%3AHot+Dogs%2C+Bacon+%26+Sausage
Applegate Organics Uncured Hickory Smoked Turkey Bacon - 8 Ounce,7.49,7.49,0.5,8 oz,Applegate,Non-local,2900 University Ave. Suite 240,IA,West Des Moines,50266,41.599391,-93.74430749999999,Fresh Thyme ,2023-07-10,https://ww2.freshthyme.com/sm/planning/rsid/951/results?q=Bacon&take=48&f=Category%3AHot+Dogs%2C+Bacon+%26+Sausage
Indiana Kitchen Hardwood Smoked Bacon - 16 Ounce,6.49,6.49,1.0,16 oz,Indiana kitchen,Non-local,2900 University Ave. Suite 240,IA,West Des Moines,50266,41.599391,-93.74430749999999,Fresh Thyme ,2023-07-10,https://ww2.freshthyme.com/sm/planning/rsid/951/results?q=Bacon&take=48&f=Category%3AHot+Dogs%2C+Bacon+%26+Sausage
Fresh Thyme Fully Cooked Uncured Turkey Bacon - 2.14 Ounce,3.99,3.99,0.13375,2.14 oz,Fresh thyme,Non-local,2900 University Ave. Suite 240,IA,West Des Moines,50266,41.599391,-93.74430749999999,Fresh Thyme ,2023-07-10,https://ww2.freshthyme.com/sm/planning/rsid/951/results?q=Bacon&take=48&f=Category%3AHot+Dogs%2C+Bacon+%26+Sausage
HARDWOOD UNCURED BACON,10.99,10.99,0.75,Size: 12 OZ,Dm bacon co,Local,2002 Woodland Avenue,IA,Des Moines,50312,41.5876654,-93.6442259,Gateway Market ,2023-07-10,https://gatewaymarket.storebyweb.com/s/1000-1/i/INV-1000-18483
APPLEWOOD SMOKED BACON,10.99,10.99,0.75,Size: 12 OZ,Des moines bacon co.,Local,2002 Woodland Avenue,IA,Des Moines,50312,41.5876654,-93.6442259,Gateway Market ,2023-07-10,https://gatewaymarket.storebyweb.com/s/1000-1/i/INV-1000-18485
SLICED SLAB BACON,9.99,9.99,1.0,9.99/lb,Webster city,Local,2002 Woodland Avenue,IA,Des Moines,50312,41.5876654,-93.6442259,Gateway Market ,2023-07-10,https://gatewaymarket.storebyweb.com/s/1000-1/i/INV-1000-24190
BERKWOOD APPLEWOOD BACON,11.99,11.99,,11.99/ea,Berkwood farms,Local,2002 Woodland Avenue,IA,Des Moines,50312,41.5876654,-93.6442259,Gateway Market ,2023-07-10,https://gatewaymarket.storebyweb.com/s/1000-1/i/INV-1000-18553
BERKWOOD HICKORY BACON,12.99,12.99,0.75,Size: 12 OZ,Berkwood farms,Local,2002 Woodland Avenue,IA,Des Moines,50312,41.5876654,-93.6442259,Gateway Market ,2023-07-10,https://gatewaymarket.storebyweb.com/s/1000-1/i/INV-1000-33732
UNCURED CANADIAN BACON,9.99,9.99,0.4375,Size: 7 OZ,Niman ranch,Non-local,2002 Woodland Avenue,IA,Des Moines,50312,41.5876654,-93.6442259,Gateway Market ,2023-07-10,https://gatewaymarket.storebyweb.com/s/1000-1/i/INV-1000-18521
BACK BACON,9.99,9.99,0.5,Size: 8 OZ,Jolly posh,Non-local,2002 Woodland Avenue,IA,Des Moines,50312,41.5876654,-93.6442259,Gateway Market ,2023-07-10,https://gatewaymarket.storebyweb.com/s/1000-1/i/INV-1000-18548
SMOKED SLICED BACON,13.99,13.99,0.75,Size: 12 OZ,Nueske,Non-local,2002 Woodland Avenue,IA,Des Moines,50312,41.5876654,-93.6442259,Gateway Market ,2023-07-10,https://gatewaymarket.storebyweb.com/s/1000-1/i/INV-1000-18469
PECANWOOD BACON,10.99,10.99,0.75,Size: 12 OZ,Berkwood farms,Local,2002 Woodland Avenue,IA,Des Moines,50312,41.5876654,-93.6442259,Gateway Market ,2023-07-10,https://gatewaymarket.storebyweb.com/s/1000-1/i/INV-1000-33734
PEPPERED BACON,12.99,12.99,0.75,Size: 12 OZ,Berkwood farms,Local,2002 Woodland Avenue,IA,Des Moines,50312,41.5876654,-93.6442259,Gateway Market ,2023-07-10,https://gatewaymarket.storebyweb.com/s/1000-1/i/INV-1000-33736
NO SUGAR BACON,12.99,12.99,0.75,Size: 12 OZ,Berkwood farms,Local,2002 Woodland Avenue,IA,Des Moines,50312,41.5876654,-93.6442259,Gateway Market ,2023-07-10,https://gatewaymarket.storebyweb.com/s/1000-1/i/INV-1000-33731
BACON HICKORY SMOKED,8.99,8.99,0.75,Size: 12 OZ,De bruin ranch,Non-local,2002 Woodland Avenue,IA,Des Moines,50312,41.5876654,-93.6442259,Gateway Market ,2023-07-10,https://gatewaymarket.storebyweb.com/s/1000-1/i/INV-1000-29349
NIMAN RANCH UNCURED BACON,12.99,12.99,0.75,Size: 12 OZ,Niman ranch,Non-local,2002 Woodland Avenue,IA,Des Moines,50312,41.5876654,-93.6442259,Gateway Market ,2023-07-10,https://gatewaymarket.storebyweb.com/s/1000-1/i/INV-1000-18524
Hormel Black Label Thick Cut Bacon,8.39,8.39,1.0,16 oz,Hormel black label,Local,,,,,,,Hyvee ,2023-07-10,https://www.hy-vee.com/aisles-online/p/11315/Hormel-Black-Label-Thick-Cut-Bacon
Hormel Black Label Fully Cooked Original Thick Cut Bacon,4.79,5.49,0.1575,2.52 oz,Hormel black label,Local,,,,,,,Hyvee ,2023-07-10,https://www.hy-vee.com/aisles-online/p/47128/Hormel-Black-Label-Fully-Cooked-Original-Thick-Cut-Bacon
Applegate Naturals Uncured Sunday Bacon Hickory Smoked,6.89,6.89,0.5,8 oz,Applegate,Non-local,,,,,,,Hyvee ,2023-07-10,https://www.hy-vee.com/aisles-online/p/41626/Applegate-Naturals-Uncured-Sunday-Bacon-Hickory-Smoked
Hy-Vee Double Smoked Thick Sliced Bacon,4.79,6.99,1.0,16 oz Pack,Hy-vee,Local,,,,,,,Hyvee ,2023-07-10,https://www.hy-vee.com/aisles-online/p/57278/HyVee-Double-Smoked-Thick-Sliced-Bacon
Applegate Naturals No Sugar Uncured Bacon Hickory Smoked,6.89,6.89,0.5,8 oz Pack,Applegate,Non-local,,,,,,,Hyvee ,2023-07-10,https://www.hy-vee.com/aisles-online/p/2405550/Applegate-Naturals-No-Sugar-Uncured-Bacon-Hickory-Smoked
Hy-Vee Sweet Smoked Bacon,4.79,6.99,1.0,16 oz Package,Hy-vee,Local,,,,,,,Hyvee ,2023-07-10,https://www.hy-vee.com/aisles-online/p/57279/HyVee-Sweet-Smoked-Bacon
Hormel Black Label Original Bacon,8.39,8.39,1.0,16 oz Pack,Hormel black label,Local,,,,,,,Hyvee ,2023-07-10,https://www.hy-vee.com/aisles-online/p/11366/Hormel-Black-Label-Original-Bacon
Jimmy Dean Premium Hickory Smoked Bacon,6.29,6.49,0.75,12 oz Package,Jimmy dean,Non-local,,,,,,,Hyvee ,2023-07-10,https://www.hy-vee.com/aisles-online/p/2455081/Jimmy-Dean-Premium-Hickory-Smoked-Bacon
"Farmland Bacon, Double Smoked, Double Thick Cut",7.39,7.39,0.75,12 oz,Farmland,Non-local,,,,,,,Hyvee ,2023-07-10,https://www.hy-vee.com/aisles-online/p/3595492/Farmland-Bacon-Double-Smoked-Double-Thick-Cut
Hormel Black Label Center Cut Bacon,8.39,8.39,0.75,12 oz Pack,Hormel black label,Local,,,,,,,Hyvee ,2023-07-10,https://www.hy-vee.com/aisles-online/p/47117/Hormel-Black-Label-Center-Cut-Bacon
Hy-Vee Center Cut Bacon,4.79,6.99,0.75,12 oz Pack,Hy-vee,Local,,,,,,,Hyvee ,2023-07-10,https://www.hy-vee.com/aisles-online/p/57277/HyVee-Center-Cut-Bacon
Country Smokehouse Thick Applewood Slab Bacon,4.99,8.99,1.0,1 lb,Country smokehouse,Non-local,,,,,,,Hyvee ,2023-07-10,https://www.hy-vee.com/aisles-online/p/2199424/Country-Smokehouse-Thick-Applewood-Slab-Bacon
Hormel Black Label Original Bacon,27.39,27.39,0.75,12 oz Package,Hormel black label,Local,,,,,,,Hyvee ,2023-07-10,https://www.hy-vee.com/aisles-online/p/77228/Hormel-Black-Label-Original-Bacon
Farmland Naturally Hickory Smoked Classic Cut Bacon,7.39,7.39,1.0,16 oz,Farmland,Non-local,,,,,,,Hyvee ,2023-07-10,https://www.hy-vee.com/aisles-online/p/21239/Farmland-Naturally-Hickory-Smoked-Classic-Cut-Bacon
Jimmy Dean Premium Applewood Smoked Bacon,6.29,6.49,0.75,12  oz,Jimmy dean,Non-local,,,,,,,Hyvee ,2023-07-10,https://www.hy-vee.com/aisles-online/p/2456254/Jimmy-Dean-Premium-Applewood-Smoked-Bacon
Farmland Naturally Hickory Smoked Thick Cut Bacon,7.39,7.39,1.0,16 oz,Farmland,Non-local,,,,,,,Hyvee ,2023-07-10,https://www.hy-vee.com/aisles-online/p/21240/Farmland-Naturally-Hickory-Smoked-Thick-Cut-Bacon
Hormel Black Label Original Bacon 4Pk,8.99,9.99,0.75,12 oz Box,Hormel black label,Local,,,,,,,Hyvee ,2023-07-10,https://www.hy-vee.com/aisles-online/p/47159/Hormel-Black-Label-Original-Bacon-4Pk
Oscar Mayer Naturally Hardwood Smoked Bacon,7.29,9.49,1.0,16 oz Pack,Oscar mayer,Non-local,,,,,,,Hyvee ,2023-07-10,https://www.hy-vee.com/aisles-online/p/50315/Oscar-Mayer-Naturally-Hardwood-Smoked-Bacon
Oscar Mayer Center Cut Original Bacon,6.29,8.99,0.75,12 oz Pack,Oscar mayer,Non-local,,,,,,,Hyvee ,2023-07-10,https://www.hy-vee.com/aisles-online/p/50321/Oscar-Mayer-Center-Cut-Original-Bacon
Oscar Mayer Thick Cut Bacon,7.29,9.49,1.0,16 oz Package,Oscar mayer,Non-local,,,,,,,Hyvee ,2023-07-10,https://www.hy-vee.com/aisles-online/p/50316/Oscar-Mayer-Thick-Cut-Bacon
Country Smokehouse Thick Hickory Smoked Slab Bacon,4.99,8.99,1.0,1 lb,Country smokehouse,Non-local,,,,,,,Hyvee ,2023-07-10,https://www.hy-vee.com/aisles-online/p/2199421/Country-Smokehouse-Thick-Hickory-Smoked-Slab-Bacon
Hickory Country Bacon,4.19,5.99,1.0,16 oz Package,Hickory country,Local,,,,,,,Hyvee ,2023-07-10,https://www.hy-vee.com/aisles-online/p/104466/Hickory-Country-Bacon
Hy-Vee Hickory House Applewood Naturally Smoked Thick Sliced Bacon,9.49,9.49,1.5,24 oz Package,Hy-vee,Local,,,,,,,Hyvee ,2023-07-10,https://www.hy-vee.com/aisles-online/p/23975/HyVee-Hickory-House-Applewood-Naturally-Smoked-Thick-Sliced-Bacon
Hy-Vee Sweet Smoked Thick Sliced Bacon,4.79,6.99,1.0,16 oz,Hy-vee,Local,,,,,,,Hyvee ,2023-07-10,https://www.hy-vee.com/aisles-online/p/23949/HyVee-Sweet-Smoked-Thick-Sliced-Bacon
Hy-Vee Fully Cooked Hickory Smoked Bacon,4.99,4.99,0.1575,2.52 oz Box,Hy-vee,Local,,,,,,,Hyvee ,2023-07-10,https://www.hy-vee.com/aisles-online/p/23963/HyVee-Fully-Cooked-Hickory-Smoked-Bacon
Hormel Black Label Applewood Thick Cut Bacon,8.39,8.39,0.75,12 oz Pack,Hormel black label,Local,,,,,,,Hyvee ,2023-07-10,https://www.hy-vee.com/aisles-online/p/11173/Hormel-Black-Label-Applewood-Thick-Cut-Bacon
Farmland Naturally Applewood Smoked Classic Cut Bacon,7.39,7.39,1.0,16 oz,Farmland,Non-local,,,,,,,Hyvee ,2023-07-10,https://www.hy-vee.com/aisles-online/p/21317/Farmland-Naturally-Applewood-Smoked-Classic-Cut-Bacon
Farmland Naturally Hickory Smoked Thick Cut Bacon Package,13.69,13.69,1.5,24 oz Zip Pak,Farmland,Non-local,,,,,,,Hyvee ,2023-07-10,https://www.hy-vee.com/aisles-online/p/21238/Farmland-Naturally-Hickory-Smoked-Thick-Cut-Bacon-Package
Hy-Vee Lower Sodium Sweet Smoked Bacon,4.79,6.99,1.0,16 oz Pack,Hy-vee,Local,,,,,,,Hyvee ,2023-07-10,https://www.hy-vee.com/aisles-online/p/23948/HyVee-Lower-Sodium-Sweet-Smoked-Bacon
Wright Naturally Hickory Smoked Bacon,12.59,12.59,1.5,24 oz,Wright,Non-local,,,,,,,Hyvee ,2023-07-10,https://www.hy-vee.com/aisles-online/p/458259/Wright-Naturally-Hickory-Smoked-Bacon
