Bacon,Current Price,Orignal Price,Weight in lbs,True Weight,Brand,Local,Address,State,City,Zip Code,Date Collected,Url,Store
Boar's Head Uncured Turkey Bacon - 12 Ounce,6.99,6.99,0.75,12 oz,Boar's head,Non-local,2130 E. Kimberly Rd.,IA,Davenport,52807,2023-07-03,https://ww2.freshthyme.com/sm/planning/rsid/952/results?q=Bacon&take=48&f=Category%3AHot+Dogs%2C+Bacon+%26+Sausage,Fresh Thyme 
Boar's Head Uncured Turkey Bacon - 12 Ounce,6.99,6.99,0.75,12 oz,Boar's head,Non-local,2900 University Ave. Suite 240,IA,West Des Moines,50266,2023-07-03,https://ww2.freshthyme.com/sm/planning/rsid/951/results?q=Bacon&take=48&f=Category%3AHot+Dogs%2C+Bacon+%26+Sausage,Fresh Thyme 
Boar's Head Naturally Smoked Traditional Bacon - 16 Ounce,7.99,7.99,1.0,16 oz,Boar's head,Non-local,2130 E. Kimberly Rd.,IA,Davenport,52807,2023-07-03,https://ww2.freshthyme.com/sm/planning/rsid/952/results?q=Bacon&take=48&f=Category%3AHot+Dogs%2C+Bacon+%26+Sausage,Fresh Thyme 
Boar's Head Fully Cooked Traditional Bacon - 2.29 Ounce,7.49,7.49,0.143125,2.29 oz,Boar's head,Non-local,2130 E. Kimberly Rd.,IA,Davenport,52807,2023-07-03,https://ww2.freshthyme.com/sm/planning/rsid/952/results?q=Bacon&take=48&f=Category%3AHot+Dogs%2C+Bacon+%26+Sausage,Fresh Thyme 
Boar's Head Canadian Style Uncured Bacon - 6 Ounce,5.99,5.99,0.375,6 oz,Boar's head,Non-local,2130 E. Kimberly Rd.,IA,Davenport,52807,2023-07-03,https://ww2.freshthyme.com/sm/planning/rsid/952/results?q=Bacon&take=48&f=Category%3AHot+Dogs%2C+Bacon+%26+Sausage,Fresh Thyme 
Hatfield Maple Brown Sugar Bacon - 22 Ounce,7.99,7.99,1.375,22 oz,,,2130 E. Kimberly Rd.,IA,Davenport,52807,2023-07-03,https://ww2.freshthyme.com/sm/planning/rsid/952/results?q=Bacon&take=48&f=Category%3AHot+Dogs%2C+Bacon+%26+Sausage,Fresh Thyme 
Deli Sliced Thick Cut Bacon - 1 Pound,5.99,5.99,1.0,1 lb,Deli,Can't be Determined,2130 E. Kimberly Rd.,IA,Davenport,52807,2023-07-03,https://ww2.freshthyme.com/sm/planning/rsid/952/results?q=Bacon&take=48&f=Category%3AHot+Dogs%2C+Bacon+%26+Sausage,Fresh Thyme 
Pederson's Natural Farms Organic No Sugar Uncured Smoked Bacon - 8 Ounce,7.49,7.49,0.5,8 oz,Pederson's natural farms,Non-local,2130 E. Kimberly Rd.,IA,Davenport,52807,2023-07-03,https://ww2.freshthyme.com/sm/planning/rsid/952/results?q=Bacon&take=48&f=Category%3AHot+Dogs%2C+Bacon+%26+Sausage,Fresh Thyme 
Fresh Thyme Smoked Sliced Uncured Turkey Bacon - 12 Ounce,4.69,4.69,0.75,12 oz,Fresh thyme,Non-local,2130 E. Kimberly Rd.,IA,Davenport,52807,2023-07-03,https://ww2.freshthyme.com/sm/planning/rsid/952/results?q=Bacon&take=48&f=Category%3AHot+Dogs%2C+Bacon+%26+Sausage,Fresh Thyme 
Fresh Thyme Fully Cooked Uncured Turkey Bacon - 2.14 Ounce,3.99,3.99,0.13375,2.14 oz,Fresh thyme,Non-local,2130 E. Kimberly Rd.,IA,Davenport,52807,2023-07-03,https://ww2.freshthyme.com/sm/planning/rsid/952/results?q=Bacon&take=48&f=Category%3AHot+Dogs%2C+Bacon+%26+Sausage,Fresh Thyme 
