Bacon,Current Price,Orignal Price,Weight in lbs,True Weight,Brand,Local,Address,State,City,Zip Code,Date Collected,Url
British bacon,13.0,13.0,0.75,0.75 lb,Joia food farm,local,2038 March Avenue,IA,Charles City,50616,2023-06-27,https://www.joiafoodfarm.com/farmstore/danish-bacon
Cottage bacon,11.5,11.5,1.0,1 lb,Joia food farm,local,2038 March Avenue,IA,Charles City,50616,2023-06-27,https://www.joiafoodfarm.com/farmstore/cottage-bacon
Bacon,12.5,12.5,1.0,1 lb,Joia food farm,local,2038 March Avenue,IA,Charles City,50616,2023-06-27,https://www.joiafoodfarm.com/farmstore/bacon
Jowl bacon,12.5,12.5,1.0,1 lb,Joia food farm,local,2038 March Avenue,IA,Charles City,50616,2023-06-27,https://www.joiafoodfarm.com/farmstore/jowl-bacon
